what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618039774550
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openFileSearchPage",1618039774571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618039774770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1618039778940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618039780071
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1618039780867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1618039783027
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1618039785775
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1618039787615
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1618039787756
closed,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1618039787757
opened,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1618039793672
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1618039793807
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1618039798905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618039805999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618039808906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1618039810993
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1618039811205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618039811618
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618039813881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1618039818833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1618039819052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618039819767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618039959866
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1618039984625
closed,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1618039984626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1618039984684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618039988555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618040019600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1618040022640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618040027359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618040122311
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618040124093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618042070799
opened,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1618042072699
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1618042072834
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1618042083306
